[WEBUI] delivery config normalized | mode=private | firebase=on | discord=off | telegram_enabled=no | telegram_bot_api=no | telegram_token_valid=no | telegram_chat_id_present=no | telegram_ready=no
[WEBUI] Firebase mirror enabled. SQLite remains the source of truth; dashboard view source is user-selected.

--- RENDER DASHBOARD IS RUNNING ---
DoneYet / JDTool for Houdini | Build 2026.04.07 | Owner: Truong Do Trung Hieu | JamesDo
Local:  http://127.0.0.1:8000
DB:     D:\Antigravity\PluginHoudini_JDTool\packages\JDTool\doneyet_render_tracker.db
Public: unavailable (bundle cloudflared.exe to enable)
-----------------------------------

127.0.0.1 - - [24/Apr/2026 20:50:29] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:32] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:32] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:35] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:35] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:37] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:37] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:38] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:38] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:39] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:39] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:41] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:41] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:42] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:42] "GET /api/service_status HTTP/1.1" 200 -
